CacheSize; PageFaults
10;27862903
20;10817241
30;7033227
40;5129801
50;3870201
60;2906447
70;2109571
80;1434622
90;853536
100;352055
110;31973
120;16245
130;12834
140;10453
150;10272
160;7363
170;7286
180;7273
190;7157
200;7035
210;6931
220;6929
230;6929
240;3677
250;3675
260;3675
270;3673
280;417
290;417
300;416
310;416
320;416
330;416
340;416
350;411
360;408
370;401
380;401
390;401
400;396
410;396
420;396
430;396
440;396
450;396
460;396
470;396
480;396
490;396
500;396
510;396
520;396
530;396
540;396
550;396
560;396
570;396
580;396
590;396
600;396
610;396
620;396
630;396
640;396
650;396
660;396
670;396
680;396
690;396
700;396
710;396
720;396
730;396
740;396
750;396
760;396
770;396
780;396
790;396
800;396
810;396
820;396
830;396
840;396
850;396
860;396
870;396
880;396
890;396
900;396
910;396
