CacheSize; PageFaults
25;31591
50;26677
75;25386
100;24780
125;24432
150;24207
175;24047
200;23928
225;23838
250;23761
275;23702
300;23659
325;23619
350;23581
375;23545
400;23521
425;23501
450;23481
475;23461
500;23442
525;23424
550;23419
575;23402
600;23393
625;23381
650;23368
675;23362
700;23359
725;23344
750;23341
775;23339
800;23324
825;23321
850;23319
875;23304
900;23302
925;23301
950;23299
975;23284
1000;23284
1025;23282
1050;23281
1075;23279
1100;23279
1125;23264
1150;23264
1175;23262
1200;23261
1225;23259
1250;23259
1275;23259
1300;23244
1325;23244
1350;23244
1375;23242
1400;23242
1425;23241
1450;23241
1475;23239
