CacheSize; PageFaults
10;19787533
20;7351693
30;5138594
40;3853824
50;2905868
60;2140399
70;1507234
80;991328
90;556619
100;199796
110;7447
120;7204
130;7064
140;6916
150;6843
160;6702
170;6048
180;6007
190;5928
200;5741
210;5506
220;5212
230;4854
240;3855
250;3683
260;3679
270;3672
280;405
290;405
300;405
310;405
320;405
330;405
340;405
350;400
360;396
370;396
380;396
390;396
400;396
410;396
420;396
430;396
440;396
450;396
460;396
470;396
480;396
490;396
500;396
510;396
520;396
530;396
540;396
550;396
560;396
570;396
580;396
590;396
600;396
610;396
620;396
630;396
640;396
650;396
660;396
670;396
680;396
690;396
700;396
710;396
720;396
730;396
740;396
750;396
760;396
770;396
780;396
790;396
800;396
810;396
820;396
830;396
840;396
850;396
860;396
870;396
880;396
890;396
900;396
910;396
