CacheSize; PageFaults
25;23139
50;23139
75;23139
100;23139
125;23139
150;23139
175;23139
200;23139
225;23139
250;23139
275;23139
300;23139
325;23139
350;23139
375;23139
400;23139
425;23139
450;23139
475;23139
500;23139
525;23139
550;23139
575;23139
600;23139
625;23139
650;23139
675;23139
700;23139
725;23139
750;23139
775;23139
800;23139
825;23139
850;23139
875;23139
900;23139
925;23139
950;23139
975;23139
1000;23139
1025;23139
1050;23139
1075;23139
1100;23139
1125;23139
1150;23139
1175;23139
1200;23139
1225;23139
1250;23139
1275;23139
1300;23139
1325;23139
1350;23139
1375;23139
1400;23139
1425;23139
1450;23139
1475;23139
