CacheSize; PageFaults
25;23101
35;23081
45;23061
55;23041
65;23021
75;23001
85;22981
95;22961
105;22941
115;22921
125;22901
135;22881
145;22861
155;22841
165;22821
175;22801
185;22781
195;22761
205;22741
215;22721
225;22701
235;22681
245;22661
255;22641
265;22621
275;22601
285;22581
295;22561
305;22541
315;22521
325;22501
335;22481
345;22461
355;22441
365;22421
375;22401
385;22381
395;22361
405;22341
415;22321
425;22301
435;22281
445;22261
455;22241
465;22221
475;22201
485;22181
495;22161
505;22141
515;22121
525;22101
535;22081
545;22061
555;22041
565;22021
575;22001
585;21981
595;21961
605;21941
615;21921
625;21901
635;21881
645;21861
655;21841
665;21821
675;21801
685;21781
695;21761
705;21741
715;21721
725;21701
735;21681
745;21661
755;21641
765;21621
775;21601
785;21581
795;21561
805;21541
815;21521
825;21501
835;21481
845;21461
855;21441
865;21421
875;21401
885;21381
895;21361
905;21341
915;21321
925;21301
935;21281
945;21261
955;21241
965;21221
975;21201
985;21181
995;21161
1005;21141
1015;21121
1025;21101
1035;21081
1045;21061
1055;21041
1065;21021
1075;21001
1085;20981
1095;20961
1105;20941
1115;20921
1125;20901
1135;20881
1145;20861
1155;20841
1165;20821
1175;20801
1185;20781
1195;20761
1205;20741
1215;20721
1225;20701
1235;20681
1245;20661
1255;20641
1265;20621
1275;20601
1285;20581
1295;20561
1305;20541
1315;20521
1325;20501
1335;20481
1345;20461
1355;20441
1365;20421
1375;20401
1385;20381
1395;20361
1405;20341
1415;20321
1425;20301
1435;20281
1445;20261
1455;20241
1465;20221
1475;20201
1485;20181
1495;20161
