CacheSize; PageFaults
25;33080
50;27067
75;25618
100;24956
125;24533
150;24333
175;24136
200;24016
225;23840
250;23803
275;23754
300;23710
325;23666
350;23627
375;23588
400;23563
425;23547
450;23523
475;23509
500;23466
525;23443
550;23436
575;23429
600;23407
625;23376
650;23403
675;23390
700;23365
725;23372
750;23345
775;23360
800;23314
825;23333
850;23333
875;23313
900;23297
925;23324
950;23282
975;23298
1000;23277
1025;23263
1050;23257
1075;23292
1100;23269
1125;23275
1150;23257
1175;23237
1200;23222
1225;23254
1250;23214
1275;23223
1300;23225
1325;23192
1350;23200
1375;23174
1400;23192
1425;23171
1450;23152
1475;23145
