CacheSize; PageFaults
10;24679747
20;8375555
30;5252017
40;3908258
50;2949209
60;2173323
70;1535619
80;1008316
90;571001
100;212094
110;10524
120;7246
130;7036
140;6900
150;6783
160;6628
170;6278
180;5982
190;5885
200;5710
210;5470
220;5169
230;4719
240;4077
250;3561
260;3141
270;1131
280;413
290;405
300;405
310;405
320;404
330;405
340;404
350;403
360;396
370;396
380;396
390;396
400;396
410;396
420;396
430;396
440;396
450;396
460;396
470;396
480;396
490;396
500;396
510;396
520;396
530;396
540;396
550;396
560;396
570;396
580;396
590;396
600;396
610;396
620;396
630;396
640;396
650;396
660;396
670;396
680;396
690;396
700;396
710;396
720;396
730;396
740;396
750;396
760;396
770;396
780;396
790;396
800;396
810;396
820;396
830;396
840;396
850;396
860;396
870;396
880;396
890;396
900;396
910;396
