CacheSize;OnMin;LRU;FIFO;Random;RandomLRU Range10;RandomLRU2 (R10, D1);RandomLRU2 (R10, D2);RandomLRU2 (R10, D3);;LRU CF;FIFO CF;Random CF;RandomLRU CF;RandomLRU (R10,D1) CF;RandomLRU (R10,D2) CF;RandomLRU (R10,D3) CF
10;45796;72938;98939;110515;110480;74650;79513;72974;;1,59;2,16;2,41;2,41;1,63;1,73624334;1,593457944
11;39000;63726;84170;92847;86006;64669;67311;63748;;1,63;2,16;2,38;2,21;1,66;1,725923077;1,634564103
12;33977;57571;74499;79664;69269;57785;59399;57531;;1,69;2,19;2,34;2,04;1,70;1,748212026;1,693233658
13;29894;52875;66668;69583;57168;52716;53308;52778;;1,77;2,23;2,33;1,91;1,76;1,783234094;1,765504784
14;26517;48645;60264;61546;49371;48351;48626;48610;;1,83;2,27;2,32;1,86;1,82;1,833767017;1,833163631
15;23650;45397;55006;54737;44129;44832;44751;45289;;1,92;2,33;2,31;1,87;1,90;1,892219873;1,914968288
16;21167;42336;50525;48837;40070;41795;41640;42288;;2,00;2,39;2,31;1,89;1,97;1,967213115;1,997826806
17;19003;40047;46432;44149;36533;39275;38951;39977;;2,11;2,44;2,32;1,92;2,07;2,04972899;2,103720465
18;17039;37765;43534;39940;33637;36816;36440;37674;;2,22;2,55;2,34;1,97;2,16;2,138623159;2,211045249
19;15288;35640;41044;35754;31051;34744;34244;35547;;2,33;2,68;2,34;2,03;2,27;2,23992674;2,325156986
20;13687;33326;38304;32571;28972;32519;31960;33234;;2,43;2,80;2,38;2,12;2,38;2,335062468;2,428143494
21;12230;31293;34473;29257;26770;30363;29873;31182;;2,56;2,82;2,39;2,19;2,48;2,442600164;2,549632052
22;10877;29336;31980;26547;24467;28359;27917;29214;;2,70;2,94;2,44;2,25;2,61;2,56660844;2,685850878
23;9616;27211;30021;23650;22592;26370;25972;27141;;2,83;3,12;2,46;2,35;2,74;2,700915141;2,822483361
24;8468;25437;28116;21121;20635;24628;24248;25369;;3,00;3,32;2,49;2,44;2,91;2,863486065;2,995866793
25;7423;24022;25396;18611;18815;23155;22585;23936;;3,24;3,42;2,51;2,53;3,12;3,042570389;3,224572275
26;6447;22519;23787;16491;17030;21512;20903;22418;;3,49;3,69;2,56;2,64;3,34;3,242283233;3,477276253
27;5549;20897;21885;14566;15279;19923;19164;20806;;3,77;3,94;2,62;2,75;3,59;3,453595242;3,749504415
28;4723;19258;18853;12850;13602;18168;17333;19165;;4,08;3,99;2,72;2,88;3,85;3,669913191;4,057802244
29;3969;17736;17746;11270;11933;16502;15540;17637;;4,47;4,47;2,84;3,01;4,16;3,915343915;4,443688587
30;3273;16087;15985;9804;10224;14484;13423;15922;;4,92;4,88;3,00;3,12;4,43;4,101130461;4,864650168
31;2639;13224;13793;8366;8374;11849;11045;13092;;5,01;5,23;3,17;3,17;4,49;4,185297461;4,960970064
32;2107;10962;11240;7191;6749;9529;8835;10805;;5,20;5,33;3,41;3,20;4,52;4,193165638;5,128144281
33;1661;8476;8683;5964;5506;7242;6760;8337;;5,10;5,23;3,59;3,31;4,36;4,069837447;5,019265503
34;1289;6403;6385;5132;4352;5335;4975;6279;;4,97;4,95;3,98;3,38;4,14;3,859581071;4,871217998
35;991;3949;5304;4105;3181;3611;3394;3906;;3,98;5,35;4,14;3,21;3,64;3,424823411;3,941473259
36;793;3192;3998;3338;2521;2852;2703;3166;;4,03;5,04;4,21;3,18;3,60;3,408575032;3,992433796
37;624;2479;3749;2807;2011;2254;2107;2452;;3,97;6,01;4,50;3,22;3,61;3,376602564;3,929487179
